,crate
0220210102,drake
0200111121,freed
0110220200,afire
0101022002,shirt
0201011020,grout
000001010000202,oddly
0001201100,tithe
0020002100,plaid
000000000022202,dummy
020000002011000,broom
000001102022220,blind
11010,torch
000010001101001,enemy
0020000110,again
0001000201,tying
000011001020112,pesky
011111002111222,alter
011010200022000,gazer
0000201010,noble
0001110101,ethos
0200200020,bride
0001101101,extol
1100120210,decor
000000010010000,hobby
002111100002222,beast
000000110010202,idiom
010110022201222,utter
000121200022022,these
0002000110,sixth
012000001002201,alarm
0220201002,erase
000010011000210,elegy
000000002120222,spunk
01001001000202021000,piper
102000101022220,scaly
1000000101,scold
0002100101,hefty
2000000010,chick
0002002012,sooty
2010010010,canal
000000102001220,whiny
0020022000,slash
002020000100222,quake
000100220202222,joint
0001120202,swept
020022002022022,prude
0020120000,heavy
000010211011000,wield
000020000002000,femme
0010011010,lasso
0010222200,maize
0020201010,shale
1100100120,screw
0100222200,spree
000000020120201,smoky
000000100010010,whiff
1001100212,scent
0020222000,glade
000112020220212,spent
020000110022200,prism
000122000000000,stoke
01001001000202011000,riper
0201011000,orbit
201000200022002,cocoa
000100020200110,guilt
0000000002,humus
000000000111002,shush
0011212102,table
010000010120222,smirk
0200010011,wrong
0000001111,noisy
0111110201,alert
000000102110000,shiny
0022202000,elate
010011010022100,resin
000020100001011,whole
100000200022002,hunch
000010212002022,pixel
011001210000010,polar
0100010111,sword
2011120222,cleat
0010001200,mango
011000010002011,rumba
000000000002012,puffy
000001200000010,dwarf
00000120000001000001,filly
00000120000001000000,billy
0020110000,leash
2001021102,clout
1010202222,dance
0022200100,ovate
10111,facet
200000101000001,chili
001101200100000,paint
010010011022022,liner
2100010110,curio
0012020002,salty
0010001000,audio
002020001120222,snake
001020202000102,fable
2010001010,cloak
001010102202122,navel
0101020012,spurt
0002120110,pesto
0010000012,balmy
002001200002220,flash
00001000210010022022,unwed
011010210012111,early
2100000020,churn
000010001012000,weedy
000100001101000,stump
0020201020,lease
000200010201000,witty
00000020000000202022,wimpy
000000020122220,spoof
011010200122022,saner
0000100111,blend
001002001022200,salsa
1001000021,thick
0112002222,warty
101000110022022,manic
0120222000,blare
000000100101000,squib
000000021120202,spoon
020022100022202,probe
2200201200,crepe
102000000000222,knack
1100201112,force
000110010222202,debut
0200110022,order
0012201001,haste
0002100202,teeth
001110020220202,agent
000010202202022,widen
100000011001210,icily
100020100120222,slice
000100110201022,ingot
2020001201,clash
010000222002222,juror
000001020002100,blood
001020100021212,abode
0101002101,throw
0002010202,unity
000100110222022,pivot
0001122202,slept
020102100022200,troop
012020001020222,spare
010012000010120,sewer
0110210000,parse
010000021001001,morph
20120,cacti
1011002002,tacky
000001020121200,spool
000010001202002,demon
000000020002020,moody
0010102020,annex
000010101202112,begin
00000000000200202002,fuzzy
1011012100,patch
0111111020,water
000002000021220,lumpy
001000010020110,admin
001010020010200,omega
0011022000,blush
001102200010000,tabby
1010000102,macho
0010201121,aisle
000000100100000,skiff
0010010000,basis
002000202202000,plank
010020020102222,verge
100100202202222,botch
2220010010,crawl
0000020101,lousy
0020022110,slain
2000010020,cubic
0110210200,raise
12200,wrack
0000200201,guide
000100222200010,foist
2010122220,cameo
010010000022021,under
11110,actor
010020010000112,revue
0220010000,fraud
1000010001,scoop
2000002110,climb
0000100122,olden
2100100020,clerk
001102200001000,tally
1001120011,ethic
2110022100,cairn
0001200020,tulle
000001020001020,ghoul
000001200020010,hilly
2200200101,crude
0121000001,apart
1020201212,scale
0100101010,older
0020002110,plain
010012000000201,sperm
020000100102220,briny
001101102010000,abbot
010010000011010,rerun
000111020202222,quest
2200011200,crisp
00000001200000020200,bound
000110010202122,befit
022002010022210,drawn
0002202201,suite
1001000011,itchy
2100100010,cheer
001010002220010,bagel
000011001000220,guess
0210021110,broad
001000100020011,axiom
2120022220,chard
2011022100,caput
0021101010,leant
011000020002200,harsh
020000011000100,proud
000000102100000,swing
0000200220,opine
0012200001,taste
0000020002,lupus
000000010012010,gumbo
01001001000222002222,miner
020010102102222,green
2020002201,chasm
0000022000,lipid
1001012010,topic
021000112022022,armor
020000000002000,brush
2220211000,crane
001010002120220,abled
001101200002102,habit
000000010122200,bossy
011010201002122,maker
000000000102000,dusky
000000200000102,dizzy
0001201110,lithe
020000002001000,brook
00100000020000202002,jazzy
000200010200001,fifty
0000220010,sense
0021000120,giant
0100002201,surly
001010010202022,legal
001101200002001,fatal
000001002002222,flunk
0200220100,prune
002002100020222,small
0021022020,slant
100000000120210,scoff
0101010121,torus
0000002020,ninny
2000100020,covey
010010010022020,viper
001110010102122,taken
0110012200,moral
000020000102110,vogue
000000112001222,owing
000110002122020,token
0101101201,entry
000200200002020,booth
010110022210222,voter
2000210020,chide
0000101112,elfin
000010001101011,ebony
000010101110211,neigh
000000201000100,minim
0000100212,melon
000010002100000,kneed
1000100101,decoy
0010002020,voila
001020102022022,ankle
0210001220,arrow
000000000112100,mushy
0201222002,tribe
2020220222,cease
011010200012000,eager
010200200002222,birth
022000001022200,graph
010010100010010,odder
0111120100,terra
010010020012200,weird
0201122020,tried
2020010200,clack
2100000110,color
010000111002210,rough
000010101010010,weigh
100100011011101,uncut
001020202000112,ladle
0101020001,strip
22210,craft
0000002012,minus
1000100021,dicey
0011021002,titan
1000002120,lucid
1110001120,vicar
0200121001,dress
100100002220000,ditch
000000000100010,gypsy
0012011000,pasta
001102200000000,taffy
002020200011000,flame
000000020121220,swoop
001000101022020,aloof
0001010112,sight
020020100001000,broke
0121102221,teary
21210,chart
0002000112,sixty
010001021022201,wordy
010012000002220,sheer
010010001002021,leper
0000110021,nosey
000020100110022,bulge
01100011001220002222,savor
202000020022201,clamp
000000001011000,funky
0020000000,foamy
1001002010,toxic
0220010100,brand
000001000010010,plumb
000000201020002,dingy
0002202000,butte
020000100002200,drill
0201222022,tripe
1000120020,bicep
0101102102,tenor
020000100002201,krill
0100210210,worse
022002000022200,drama
001010120010220,hyena
0001010201,think
0111002201,ratio
2110021101,cobra
001001001001012,basil
1100000122,scrum
0000110020,bused
000020002000222,phone
21010,court
020000012002221,proof
0120101100,heard
0010102022,angel
0011100111,petal
000200200200011,pouty
010100210122220,throb
001022200001100,maybe
001110011102222,fetal
0100000201,sprig
000022022000010,spine
000101101222202,shout
2011120112,cadet
1110001111,macro
000000010000220,dodgy
011010200002000,rarer
000020011102222,binge
0201122010,trend
0002020002,nutty
002110101022202,leapt
001001000001112,amiss
000100011200122,split
0100000200,myrrh
0002000100,filth
000200010002022,width
0110002100,sonar
010110012210100,tower
011000120010222,baron
01001000000002002122,fever
011010200002100,waver
012000000120220,spark
000020110021012,belie
000001020122200,sloop
000010012001020,expel
0002210001,smote
0110102200,baler
001020100020212,above
010200000002222,north
01101020000210022022,wafer
1021021210,scant
020000100022200,frill
002001000020220,awash
102000001020222,snack
100000010122210,scowl
0220001000,frail
0201010000,drift
0000022100,limbo
100020020000000,fence
000110102102222,motel
1000200210,ounce
021010222002222,wreak
010010001002222,revel
0011022022,talon
0200001120,prior
000110120200222,knelt
2000110010,cello
0020202001,flake
001020100021202,anode
2200200100,crime
001020201112012,salve
1001001110,scout
000020010010012,imbue
000000201000012,pinky
0021200100,stave
001020200012102,vague
2000000000,chock
000101010220000,fight
0000102020,video
000122000010000,stone
1021110221,teach
2001100011,cleft
0201011001,frost
022000010022210,prawn
000200200200101,booty
0001000222,twist
001010102001021,apnea
000100021110200,stiff
002000200002202,plaza
000020100120222,ledge
0011100201,tweak
0120010100,board
0221000021,grant
100010010112100,medic
1010000011,bacon
2010211000,cable
022000000022200,brawl
000001002122220,slunk
011000010202012,raspy
0100001210,forum
0200201110,drone
000010002200200,women
1000002002,mucus
002101000002222,boast
0001002001,toddy
2000100022,coven
010100011122022,tumor
02220,wrath
002102100020221,stall
0011121201,steam
001000001001010,axial
01001000001002002022,purer
001000002201100,daily
0221001100,trail
100020210022012,niche
0020100100,mealy
1000201000,juice
000001011021011,nylon
00000100000001002200,plump
01001000020202002222,merry
002000210002220,flail
001000001001000,papal
001110020210202,wheat
010010000222020,berry
2100100110,cower
12011,erect
0202202022,brute
000010011000110,leggy
000022021022202,snipe
0000122021,sinew
0100120200,skier
000010001102001,penny
000000000002222,jumpy
0110010102,rally
011000010001011,umbra
1120022220,scary
000010002001021,modem
020002001022200,gross
001000010020210,avian
020011102102222,greed
0011012002,satin
100100201022022,tonic
011000020012202,parka
0000001011,sniff
000002200022022,livid
0121021000,stark
020102001022200,trump
000000200000212,giddy
0100210100,reuse
0011022020,taboo
001000100020121,avoid
000220200002022,quote
0000101110,devil
000010212222022,liken
000001020202222,gloss
011010200022001,gayer
010110212112022,beret
0000210210,noise
002000202002222,gland
0021101120,dealt
0000011021,sling
010000212002222,rumor
011011100011110,opera
000101020122200,thigh
0011021011,tonga
012020200002222,flare
000000012020000,wound
0002200200,white
000001000020012,bulky
0001200000,etude
010021021002222,horse
2110021200,circa
001000000220202,paddy
000000111002120,inbox
000000200020002,fizzy
0220001110,grain
0101101111,exert
0100220201,surge
0010100201,gleam
000020100000011,belle
001002101020111,salvo
2200001000,crush
0201010010,fruit
001002000210000,sappy
011112002000000,taker
1221022220,tract
000020022020222,ovine
000000100100010,spiky
022000010002222,frank
01001000020201102122,reedy
002002000021220,spasm
002020000002222,heave
001000100010002,mambo
0101001002,right
2020010220,clank
0201020011,trust
000010012201022,lumen
010020021002202,borne
1010202022,sauce
0110101010,amber
0011202222,lathe
21110,carat
210010011022022,corer
0102002002,dirty
00000100012000020222,slyly
001000000001120,affix
0010001012,alloy
001102200122100,taint
000012002020222,sheep
000000201000002,kinky
000001020001000,wooly
001022200001010,mauve
000001002002220,flung
1011012001,yacht
0200110121,fried
002000110000222,quail
020101011002222,brunt
020002100022200,grimy
2100001012,curvy
2010122020,cagey
010021010020022,rinse
1000220000,deuce
002220000120222,state
0220000011,grasp
00000120000011002212,milky
0000002111,bison
0221010001,graft
0010020202,sandy
001220000102222,baste
0020012002,flask
000020000100021,hedge
010000020001200,girly
002002000020222,swash
000010002100001,boney
2000202000,coupe
000010001111021,endow
011000110011000,abhor
1000101100,welch
002020200010101,blade
00010101020000002222,tight
000021000120022,geese
010011010010020,miser
0102002010,mirth
200001200022100,cloud
2010000210,cabal
1000101200,leech
2000201001,close
0002100102,tenth
1010102220,pecan
020101100012022,droit
0220001010,grail
2000201100,clone
0000210201,guise
0110010100,ralph
0011022011,tango
000000200000202,biddy
0002000210,smith
01001020001011022022,mower
001020200002002,payee
010012010021210,serif
0220200102,drape
000200010022022,fifth
002002002220222,spank
002022200022202,glaze
001101102002000,allot
1201022022,truck
0010000001,kayak
0100001202,virus
000210011002222,testy
000120000011002,tepee
00000100000002202222,fully
0010002210,zonal
0101122201,metro
2100000022,curry
0220010110,grand
001000120002202,banjo
001000110001022,axion
00001001202202022022,bezel
1100001220,occur
2020002210,chain
0010010110,nasal
000010002000020,gooey
010010011012022,filer
1220202222,brace
001000001201202,allay
1000022020,pubic
01101020000200022020,raven
001010020102220,plead
0020010010,gnash
0020002001,flaky
100000200002102,munch
000001000000122,dully
000101020122220,thing
000001102122220,slink
010000220000001,hurry
000110020200202,theft
010000011120222,shorn
000000000000112,pygmy
1110001110,ranch
020001100102222,wring
0000100112,lemon
010022011001001,shore
001000000022001,mamma
020020100021000,froze
010010000001220,newer
0001220021,style
000021000000100,moose
020000001221010,drown
001010110002222,vegan
2000100010,chess
00000000000202202222,guppy
000000111002222,union
010010001002221,lever
010000021000010,lorry
0020210100,image
2010000202,cabby
020000100002100,druid
1021120222,exact
0202002022,truth
000010002000021,dopey
0110111001,spear
2200100222,cried
2000210000,chime
2200000011,crony
000100001101110,stunk
000100010120020,timid
101101200020000,batch
001020200022202,gauge
010100010102222,rotor
222001000022202,crack
2100222202,curve
0012200000,latte
100100002201000,witch
100000200002002,bunch
010010001002022,repel
001000011011202,anvil
002002000020200,soapy
0202002222,broth
001000002220200,madly
0200120021,dried
1000200101,scene
0000000210,known
001000000022000,magma
0101010202,roost
001000210012220,woman
0001011001,thong
1000022000,punch
0012011002,pasty
000000012010002,downy
0010122200,knead
0100000100,whirl
011000011022022,rapid
2020000220,clang
011010100001012,anger
0200200010,drive
000000020022000,goofy
0020100120,email
1000002021,music
000100001111000,stuff
000010012021020,bleep
01001001000202102222,rider
1010102210,mecca
000001110010212,folio
0001120101,setup
0100111000,verso
002001000000220,quash
001000010010020,fauna
00000000000220202222,gummy
001000000210002,happy
000010011101110,newly
00000000010200002202,fussy
1100101110,relic
002000000000200,guava
0112002122,ratty
000020000100120,fudge
010010000010010,femur
2100010020,chirp
0102212022,forte
001000001002010,alibi
000020022000222,whine
0002120100,petty
000001010000012,golly
0021002100,plait
1000102200,fleck
000010021202222,felon
010001111012202,gourd
020000001201010,brown
0101002021,thrum
1000001012,ficus
002102000021201,stash
1100120212,decry
010011010010021,wiser
0012000010,junta
0100000121,visor
001101220120200,daunt
1100222012,scree
000010112011120,impel
0021000100,await
0200101001,press
000021000010000,whose
010100011122011,turbo
000100101101210,stoop
0010110200,speak
001000020200001,mangy
000010101120222,eying
000110102201222,inlet
2200200120,crone
000021100010122,pulse
000000010102201,mossy
0021020100,staid
100020020020000,hence
100002001022100,pinch
000110010102101,teddy
000001000120100,sully
010022011001100,snore
010010010002120,ripen
000000021120221,snowy
101100100020222,attic
000000112002222,going
1020101002,leach
000200200022020,mouth
00000001200000000201,hound
2000012100,clump
001102101122201,tonal
000100110202022,bigot
010010011011011,peril
1000202000,piece
002020200011100,blame
0012201200,haute
000012102020222,spied
000000101022020,undid
010100010101201,intro
001001001001022,basal
01001020002010001200,rodeo
012001000000222,guard
010110112212022,steer
002000100000211,loamy
1020010010,scamp
0010000222,manly
000010021002220,hello
00110122010020002222,vaunt
021000111212122,organ
011010110012022,feral
1000000000,knock
0111110100,extra
200000000122200,condo
0021000000,adapt
00000120000001001000,willy
001000201002011,polka
011000110102221,rayon
0101020002,skirt
0012000200,faith
0101010101,torso
101101200000010,match
1100100112,mercy
000110010102122,tepid
000012012022220,sleek
010011010020020,riser
000100020200000,twixt
1020220222,peace
00000100011020002222,flush
2012022020,catty
0000021110,login
1001120222,eject
01001020002010001010,roger
011001010021100,rival
0001200100,untie
010110210122002,refit
0112001220,aorta
001101120000212,adult
00002000010012002222,judge
01001020002010011000,rower
0211012010,artsy
011001020002222,rural
002020001000000,shave
000000010020000,bobby
1011101112,eclat
001010010102210,fella
001000002201010,gaily
011000020222202,harry
001201000202222,hasty
010001011000121,hydro
000020110102122,liege
1011001010,octal
0100200110,ombre
011012200002101,payer
000200201022022,sooth
000111002220222,unset
000100010210022,unlit
0001002102,vomit
001000020200100,fanny
000111010111002,fetus
100100012200010,butch
0021021002,stalk
102000200002222,flack
000000210002001,widow
