,roate
1020000011,shark
100010002121000,drier
0100210000,obese
0000201001,bugle
0011000021,tawny
0020001012,chalk
002111000101100,feast
2000022002,ruddy
001010202202222,pedal
100010022002222,cruel
0011100122,bleat
001100110102122,tidal
000002200022200,slush
000012002222022,semen
000000010200220,windy
0002000011,dusty
001001110022022,sally
0100000121,igloo
100010200112202,nerdy
00001001200200002022,jewel
010022000022202,shone
002020100010202,whale
000010002200022,hymen
0010201201,abuse
000020000100020,fugue
0100101020,elbow
100000120022220,crumb
0010001101,pansy
0000110210,welsh
100002010020220,syrup
1001200200,terse
0020220100,suave
001100000200112,gamut
000002000020220,swung
102020220000121,drake
1000121022,freed
1010220000,afire
1001020002,shirt
110100022202222,grout
0100000101,oddly
0001200101,tithe
0020002100,plaid
000000002200010,dummy
11000020000000002200,broom
000000220002200,blind
1201002201,torch
000010001101100,enemy
0020000100,again
0001000021,tying
0000110010,guess
000011001000110,pesky
101111002111222,alter
101010200022000,gazer
0200200020,noble
0101101121,ethos
100020100001012,bride
0101101021,extol
1100111001,decor
0200010002,hobby
002111000121100,beast
010000002000022,idiom
100110102010022,utter
0001200021,these
0002012001,sixth
102000000001200,alarm
1020202201,erase
000010011010002,elegy
000002000020222,spunk
100010002002010,piper
002002101000000,scaly
010002020121200,scold
0002100101,hefty
000000020000222,chick
0202000102,sooty
001001000102222,canal
000000020201202,whiny
002002200022200,slash
0020200100,quake
020100001102222,joint
0001120202,swept
1000220200,prude
0020101000,heavy
000010211011000,wield
000020000011002,femme
0110020011,lasso
001022200001000,maize
0020221000,shale
10001000200000120222,screw
1000210001,spree
010002020020201,smoky
000000020000200,whiff
000112020220202,scent
002020200001112,glade
000112020220212,spent
1000010000,prism
0101220001,stoke
2000110122,riper
1101000102,orbit
021000001002002,cocoa
000100010200201,guilt
0000010010,humus
000002000020200,shush
0011212102,table
100002000220222,smirk
110001202002222,wrong
020000000200001,noisy
1011110201,alert
000002020200101,shiny
0022201111,elate
2000100111,resin
0100201000,whole
000000000020200,hunch
000010212002022,pixel
1210001200,polar
0201100101,hotel
110000100200010,sword
001110012202222,cleat
0110000210,mango
2010000000,rumba
00000000022000022002,puffy
000000110200001,filly
000000110200000,billy
0020101010,leash
0101001010,clout
001020200000202,dance
01222,ovate
0011100012,facet
000000120000012,chili
001100022211100,paint
100010002012000,liner
110000110010110,curio
0012020002,salty
0110001010,audio
002022000000011,snake
001020202010010,fable
011001001010021,cloak
0010101112,navel
1001020202,spurt
01021,pesto
002001200002220,flash
000010002122022,unwed
101010210012111,early
100000120021200,churn
000010001000102,weedy
000102020121000,stump
0020211000,lease
000200200000210,witty
0000000112,wimpy
010002022000000,spoof
101010200122022,saner
0000100111,blend
001001010022200,salsa
0001002001,thick
1012002222,warty
001000002102222,manic
000002010021001,squib
010002122020222,spoon
110022020022202,probe
1000210000,crepe
002000002200000,knack
1200200000,force
000110010211002,debut
1100102021,order
0012200101,haste
0002100202,teeth
001110001201012,agent
000010202202022,widen
0000001202,icily
000022220000011,slice
010100010001110,ingot
002001201000002,clash
110000100000220,juror
010000022122220,blood
0110211020,abode
1101000101,throw
0002001100,unity
010102000022022,pivot
0001122202,slept
110100020122200,troop
102020120100010,spare
100010202000000,sewer
1010210001,parse
120000000002200,morph
0012000100,cacti
001101000100000,tacky
0100020222,spool
020000002200000,moody
0010101210,annex
000010101202112,begin
00000000020000002002,fuzzy
001101000100012,patch
1011111020,water
0000001012,lumpy
001000002201022,admin
0110120210,omega
000100000202022,limit
011000001002202,macho
0010201021,aisle
000002020020200,skiff
001000022022220,basis
002000200202000,plank
100020000012012,verge
0201010000,botch
102000010001100,crawl
0200001202,lousy
0020022100,slain
000000010022020,cubic
2010222002,raise
102000011012202,wrack
0000200201,guide
020100001020020,foist
0110111110,cameo
100010012120222,under
1111011120,actor
2000202000,revue
102001000002202,fraud
101000220012200,harpy
010002022000010,scoop
000000222012220,climb
200010002220022,refer
0100111012,olden
100010100021200,clerk
101011100002211,debar
001100100110122,tally
000110010101120,ethic
1010022020,cairn
0001202000,tulle
0100000202,ghoul
00000011020000002222,hilly
1000200200,crude
102100100000222,apart
002022100020222,scale
1100101021,older
002000210022220,plain
100010100001210,sperm
100000000022220,briny
0111010112,abbot
200010001122020,rerun
000111020202222,quest
1000011000,crisp
0200020210,bound
000110010210102,befit
102002000022220,drawn
0002202201,suite
000100100111000,itchy
100010102021220,cheer
0010111012,bagel
111000101000211,broad
0110001020,axiom
1020010100,chard
0011020002,caput
0021111010,leant
101000220102222,harsh
100020010102222,curse
110000200210020,proud
001220010000100,taste
0000011000,lupus
010000010002222,gumbo
100010002012100,miner
100010102002220,green
0020010010,chasm
000000110002021,lipid
0201010020,topic
1110011020,armor
100001020001210,brush
102022220011000,crane
101000120000222,mural
001010101120220,abled
001100010210022,habit
020002000222002,bossy
101010201002122,maker
000001000200001,dusky
000000010200010,dizzy
000120010102222,lithe
110000200000002,brook
00100010000200200000,jazzy
000200200000110,fifty
0000220010,sense
0021000120,giant
1000020120,surly
0010112022,legal
001100100110210,fatal
0010112120,began
100022020022202,prune
002002100020222,small
0021022020,slant
010002020020210,scoff
1201002211,torus
000000010200200,ninny
0200101000,covey
10001000200201002222,viper
001110001102122,taken
1210001110,moral
0200211000,vogue
010000110001111,owing
0201100000,token
1001121100,entry
0202020010,booth
12011,voter
0000200200,chide
0000101112,elfin
0100101011,ebony
000010101110211,neigh
000000011022020,minim
0100102122,melon
000010002102022,kneed
0100122020,decoy
0210011010,voila
001020102022022,ankle
111000102022020,arrow
000001001222202,mushy
1001211100,tribe
002021000020222,cease
101010200012000,eager
1002002000,birth
102000000012200,graph
110010102120222,odder
1011120100,terra
1000102002,weird
1001102020,tried
002000202202000,clack
1200020000,color
2200001010,rough
000010101010010,weigh
000100011222002,uncut
001020202011000,ladle
1001020001,strip
1021022000,craft
0000010110,minus
0000102020,dicey
0011000111,titan
000000110000021,lucid
1010011100,vicar
1000101001,dress
000100100110001,ditch
000001000200200,gypsy
0012011000,pasta
001100000122002,taffy
0020202020,flame
010002022010000,swoop
011001002022020,aloof
0001021002,sight
110020020001020,broke
1021102221,teary
1021021000,chart
0002002001,sixty
1200000022,wordy
10001010200122020222,sheer
100010202000001,leper
0200101101,nosey
000020100122112,bulge
111000202002010,savor
0020002010,clamp
000000000200010,funky
0220002222,foamy
020101002022022,toxic
102001000002222,brand
0000002020,plumb
000000010200210,dingy
0002202000,butte
100000002021000,drill
1001201100,tripe
000010202002220,bicep
1101111012,tenor
1000000021,krill
1200200020,worse
102002000022200,drama
001010111010111,hyena
0001002021,think
21110,ratio
1210011000,cobra
0010010220,basil
100002210022220,scrum
0000110020,bused
010020000000222,phone
1201002102,court
001010101210010,camel
110000200010000,proof
1020100001,heard
0010111112,angel
0011101121,petal
0202001002,pouty
110100010122220,throb
001022200000001,maybe
001110012102222,fetal
1000020000,sprig
000022022000010,spine
0101001001,shout
001110001202122,cadet
1110022210,macro
0200000012,dodgy
1011010001,satyr
2010102000,rarer
000020011102222,binge
1001112100,trend
0002000100,nutty
0021110010,leapt
001000011011011,amiss
000102000222112,split
100000000001000,myrrh
0002012010,width
1210001001,sonar
1201102122,tower
1110002022,baron
100012202022022,fever
101010200002100,waver
102000001120222,spark
000020110021012,belie
0100020221,sloop
000010012001001,expel
01022,smote
1010122200,baler
0110211000,above
1202001000,north
10101020000210022022,wafer
002102002021220,scant
100000002001000,frill
002001000000000,awash
002002002200000,snack
010002020220202,scowl
102000100002220,frail
1001000022,drift
010000010110010,limbo
000020001002020,fence
0201120100,motel
0100200020,ounce
10101010000102102222,wreak
200010102122022,revel
0111001111,talon
110000220022201,prior
000110120200222,knelt
010010201002102,cello
002020200001002,flake
000010001010100,debug
0110201020,anode
100020102002222,crime
001020201112012,salve
010100101010222,scout
000020010011000,imbue
000000010220200,pinky
0021200100,stave
0010202100,vague
010000020000200,chock
00010010021000002222,fight
0100111010,video
0101220020,stone
0021110000,teach
000110220202212,cleft
1101010202,frost
0202020002,booty
000101000201022,twist
001010121020220,apnea
000102000110000,stiff
002000200010000,plaza
000020100100112,ledge
0011100021,tweak
1220002222,board
102100200002202,grant
000010101010020,medic
011000012002022,bacon
001020202010000,cable
102000000002220,brawl
000002200022220,slunk
201000000020001,raspy
1200001000,forum
1100200220,drone
020012010000010,women
000001001002122,mucus
0221020000,boast
020100000002102,toddy
020010010012220,coven
110100011122022,tumor
100110202022020,truer
10220,wrath
002102100020221,stall
001112002110010,steam
001001001001220,axial
100010012002122,purer
0010011010,daily
102100210001002,trail
000020011002112,niche
0020100020,mealy
000020020010202,juice
0100001021,nylon
000000202022220,plump
100010200000000,merry
002000210002220,flail
001001000011000,papal
001110002202222,wheat
10001020000000002222,berry
120010020002100,cower
100112200022002,erect
1002202022,brute
000010011020002,leggy
000022021022202,snipe
0000122021,sinew
100010002001001,skier
000010001102200,penny
000000001212002,jumpy
2010000020,rally
101000102010020,umbra
102000010122220,scary
020010001022220,modem
110002200000020,gross
0010000012,avian
100010102201000,greed
001100011101212,satin
0201010021,tonic
000002020020210,sniff
000000110012021,livid
102100100122220,stark
100100020100000,trump
000000010200020,giddy
2000212000,reuse
0111010111,taboo
011000101020121,avoid
0102200222,quote
0000101110,devil
000010212222022,liken
010001020102222,gloss
101010200022001,gayer
100111102002121,beret
020020010102222,noise
002000200010021,gland
0021110020,dealt
000002220022200,sling
2100020001,rumor
11101,opera
000100200122200,thigh
0211001200,tonga
102020120002222,flare
020000021000100,wound
0002200200,white
000000100220012,bulky
0001201000,etude
1200200021,horse
1010021200,circa
00100010000220202222,paddy
0100002020,inbox
00000001020000002102,fizzy
1001121000,exert
100020010102212,surge
0010121021,gleam
000020100002000,belle
011001001120111,salvo
1000011200,crush
1001000212,fruit
001000110021002,sappy
101112002000000,taker
102101200022220,tract
010020020020222,ovine
000002020200000,spiky
102000001002222,frank
200010001122000,reedy
0002012000,filth
002002000021220,spasm
002020000011000,heave
011000001002002,mambo
20010,right
0020002012,clank
1001010202,trust
0000100122,lumen
1200201000,borne
010002022000002,spook
001020220102212,sauce
1010111010,amber
0011202222,lathe
1011010020,carat
120010000020100,corer
1002002100,dirty
0000022002,slyly
001000002020000,affix
011001002022220,alloy
001100022221000,taint
000012002020222,sheep
00000001020020002202,kinky
020000100220100,wooly
0010222200,mauve
000000200022220,flung
0011010002,yacht
1000120022,fried
002000110000222,quail
100100020220212,brunt
100000000002201,grimy
0010111010,cagey
2000211000,rinse
000020000010102,deuce
0022222100,state
102000000100010,grasp
000000111211012,milky
0100011020,bison
102100200002222,graft
001000110102212,sandy
0012220100,baste
0020012002,flask
000020000101000,hedge
100000002002100,girly
002002000020222,swash
020010120000000,boney
0200201000,coupe
0100111021,endow
111000102020022,abhor
000010021002200,welch
002020200021102,blade
000100100220000,tight
0000210001,geese
100010002002101,miser
1002022000,mirth
010000020102100,cloud
001001000011200,cabal
000010011020000,leech
0100212010,close
0002100102,tenth
001010212002022,pecan
1101000202,droit
102000100022220,grail
010020201022202,clone
0000210201,guise
2010001010,ralph
011100011102102,tango
00000001020002002222,biddy
0002011001,smith
1200120200,mower
001020200000002,payee
1000112000,serif
102020220000101,drape
000201200022022,fifth
002002000220222,spank
002020200001012,glaze
0111002112,allot
1001001201,truck
001000100002001,kayak
1000010100,virus
000210011002222,testy
0001200000,tepee
00000010020002202222,fully
0210010021,zonal
1101111011,metro
100000110022202,curry
011000021002202,banjo
0110001120,axion
00001001202200022022,bezel
110000100000110,occur
0020000110,chain
0010010201,nasal
020010100002022,gooey
100012002001100,filer
1020212200,brace
001001100001202,allay
000000010012120,pubic
201010200022020,raven
001010102102220,plead
002001000002000,gnash
0020002001,flaky
000000001002102,munch
000000100200122,dully
000100202122220,thing
000002220022202,slink
100000010002222,hurry
000110020200202,theft
110000101000101,shorn
000000002210000,pygmy
2010011000,ranch
100000000002222,wring
0100102222,lemon
1100202201,shore
001000000002222,mamma
110020020001000,froze
100010202020000,newer
0001200010,style
020020010002222,moose
0011010111,antic
1100002011,drown
001011212002222,vegan
000011001000222,chess
000000000210001,guppy
010000202012020,union
100010202000201,lever
120000000201000,lorry
002020001002202,image
001000100022002,cabby
100000020002200,druid
0021120000,exact
1002000000,truth
0200101010,dopey
101010100100010,spear
100010002200210,cried
000020020022202,chime
1100002020,crony
000102022122220,stunk
0001000001,timid
00110100010000202222,batch
001020220022202,gauge
2201022021,rotor
102000011022202,crack
1000200100,curve
0012200200,latte
000100100110000,witch
000000000010200,bunch
2000111021,repel
0010010021,anvil
0220002202,soapy
100111102002222,meter
1102002222,broth
001001100002112,madly
100010002200200,dried
0000220020,scene
0100002200,known
001000000012122,magma
2201022002,roost
0210000222,woman
0101000101,thong
000000000010201,punch
0012011002,pasty
020000001222002,downy
001010112002221,knead
1000000010,whirl
201000010222022,rapid
002000201022200,clang
101010100001012,anger
100020100001002,drive
020000000220000,goofy
0020100110,email
000001011021011,music
000102020120000,stuff
000010012021002,bleep
200010012210010,rider
001010201002002,mecca
020000100002200,folio
0001120101,setup
1100111000,verso
002001000010000,quash
001000000102102,fauna
000000002220000,gummy
00100010000200220020,happy
000010011101110,newly
000001000200000,fussy
2000101111,relic
0020000000,guava
20120,ratty
000020000100010,fudge
1000122100,femur
100000100021202,chirp
12022,forte
001001001012210,alibi
0000200220,whine
0002120100,petty
02000010020020000010,golly
0021002100,plait
000010011010000,fleck
0100102022,felon
1200001010,gourd
110000201001000,brown
1001000101,thrum
0000010100,ficus
002102000021201,stash
100010200122102,decry
100010002002001,wiser
0012000010,junta
110000110011110,visor
00110000221020000110,daunt
100020000121202,scree
000010112011120,impel
0021000100,await
100010100002222,press
010021000010022,whose
110100011122011,turbo
010101000022202,stoop
001010102000220,speak
001000100100111,mangy
000010101120222,eying
000110102201222,inlet
110020022002222,crone
0000211000,pulse
020000000200101,mossy
0021020100,staid
000020001002021,hence
000000010010110,pinch
000110010102101,teddy
000002100220022,sully
1100200211,snore
2000110121,ripen
0100022200,snowy
0011010101,attic
020000000000000,going
0020111010,leach
0202001010,mouth
020000021020000,hound
000000202012220,clump
0211001202,tonal
010100000010022,bigot
100010200021000,peril
000020010002001,piece
002020202002222,blame
0012201101,haute
000012102020222,spied
000000010001022,undid
1101002101,intro
0010010200,basal
2200101200,rodeo
102001000021202,guard
1001111021,steer
0020020010,scamp
101001120122220,scram
0010011001,manly
010010201002002,hello
00110000221020001100,vaunt
111000101212122,organ
101010110001121,feral
010000220022200,knock
1011110100,extra
0200000020,condo
0021000000,adapt
000000110201000,willy
0210010010,polka
2110022020,rayon
100102000220222,skirt
0012000200,faith
1201002221,torso
001101000100102,match
100010200000020,mercy
000110010102122,tepid
000012012022220,sleek
200010012210000,riser
000100000201002,twixt
002020000100212,peace
000001200002210,flush
001200000200110,catty
020000100002102,login
000110020220202,eject
2200101010,roger
2010000110,rival
0001201100,untie
2001100020,refit
12120,aorta
001100100201222,adult
00002000010001002222,judge
2200111000,rower
1011020002,artsy
2010000010,rural
002022000000000,shave
020002000222022,bobby
0011100222,eclat
0010102011,fella
001001101002222,gaily
101000222020000,harry
001201000202222,hasty
1100001001,hydro
000020110102122,liege
0111001121,octal
1100200100,ombre
101010200002001,payer
0202000110,sooth
000111002220222,unset
000100011222022,unlit
0201000220,vomit
00100010010012002222,fanny
0001110101,fetus
000100110100010,butch
0021021002,stalk
002000202202010,flack
010000002000020,widow
